[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
09091c06.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DOURADO PRECOCE::GERVEX 336-C1	DOURADO PRECOCE::GERVEX 336-C1	NA	NA	leaf	NA	leaf	NA	trj	Brazil	NA	rice	seedling	NA	
0925e44d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BODOMANO::GERVEX 8343-C1	BODOMANO::GERVEX 8343-C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Madagascar	NA	rice	seedling	NA	
092f15e7.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SUNDENSIS	SUNDENSIS	NA	NA	leaf	NA	leaf	NA	ind2	Kazakhstan	NA	rice	seedling	NA	
094ba8c6.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KENDINGA 5 H::IRGC 60310-C1	KENDINGA 5 H::IRGC 60310-C1	NA	NA	leaf	NA	leaf	NA	trj	Malaysia	NA	rice	seedling	NA	
0952e121.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PADI RAOEKANG	PADI RAOEKANG	NA	NA	leaf	NA	leaf	NA	ind2	Indonesia	NA	rice	seedling	NA	
09869491.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LOMELLO	LOMELLO	NA	NA	leaf	NA	leaf	NA	tej	Italy	NA	rice	seedling	NA	
0a12f8f9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BARANKALAMKATI::IRGC 45087-1	BARANKALAMKATI::IRGC 45087-1	NA	NA	leaf	NA	leaf	NA	aro	India	NA	rice	seedling	NA	
0a5fbba4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 15340::IRGC 42019-1	ARC 15340::IRGC 42019-1	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
0ab47bcf.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	VELA::IRGC 82437-1	VELA::IRGC 82437-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Italy	NA	rice	seedling	NA	
0ac8b40d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SANTHI SUFAID 207::IRGC 28212-1	SANTHI SUFAID 207::IRGC 28212-1	NA	NA	leaf	NA	leaf	NA	aus	Pakistan	NA	rice	seedling	NA	
0af4494d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	VARY SOMOTRA SIHANAKA::GERVEX 8321-C1	VARY SOMOTRA SIHANAKA::GERVEX 8321-C1	NA	NA	leaf	NA	leaf	NA	trj	Madagascar	NA	rice	seedling	NA	
0b170025.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PATLE::IRGC 27635-1	PATLE::IRGC 27635-1	NA	NA	leaf	NA	leaf	NA	admixed	Nepal	NA	rice	seedling	NA	
0b663120.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BADO::IRGC 71499-1	BADO::IRGC 71499-1	NA	NA	leaf	NA	leaf	NA	trj	Malaysia	NA	rice	seedling	NA	
0b7d031b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SADRI::IRGC 33949-1	SADRI::IRGC 33949-1	NA	NA	leaf	NA	leaf	NA	aro	Iran	NA	rice	seedling	NA	
0ba66977.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CR 8334::IRGC 116972-1	CR 8334::IRGC 116972-1	NA	NA	leaf	NA	leaf	NA	ind2	Costa Rica	NA	rice	seedling	NA	
0bca95e0.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NPE 835	NPE 835	NA	NA	leaf	NA	leaf	NA	tej	Pakistan	NA	rice	seedling	NA	
0bcf4fb2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TUO TUO HUANG::IRGC 72851-1	TUO TUO HUANG::IRGC 72851-1	NA	NA	leaf	NA	leaf	NA	ind1	China	NA	rice	seedling	NA	
0be20a08.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ROMANICA	ROMANICA	NA	NA	leaf	NA	leaf	NA	tej	Hungary	NA	rice	seedling	NA	
0bf97c86.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BENGALY 389::GERVEX 4743-C1	BENGALY 389::GERVEX 4743-C1	NA	NA	leaf	NA	leaf	NA	ind3	Madagascar	NA	rice	seedling	NA	
0c1b0a01.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IR 31917-45-3-2::IRGC 78132-1	IR 31917-45-3-2::IRGC 78132-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Philippines	NA	rice	seedling	NA	
0c1db998.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SONA::IRGC 26971-C1	SONA::IRGC 26971-C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
0c31dba2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BRE JER::IRGC 78238-1	BRE JER::IRGC 78238-1	NA	NA	leaf	NA	leaf	NA	ind2	Thailand	NA	rice	seedling	NA	
0c5f565a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SEBOTA 65::C1	SEBOTA 65::C1	NA	NA	leaf	NA	leaf	NA	ind2	Brazil	NA	rice	seedling	NA	
0c85e164.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KOTOBUKI MOCHI	KOTOBUKI MOCHI	NA	NA	leaf	NA	leaf	NA	admixed-jap	Unknown	NA	rice	seedling	NA	
0c8eb926.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	93-11	93-11	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
0cec5a7c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Lebed	Lebed	NA	NA	leaf	NA	leaf	NA	admixed-jap	India	NA	rice	seedling	NA	
0cf4ae7f.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	YU WEOL ZO::IRGC 19894-1	YU WEOL ZO::IRGC 19894-1	NA	NA	leaf	NA	leaf	NA	tej	Korea, Republic of	NA	rice	seedling	NA	
